country_code,country_name,region,sub_region,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Ease of doing business score (0 = lowest performance to 100 = best performance),"Fertility rate, total (births per woman)",Fixed broadband subscriptions (per 100 people),GDP (current US$),GDP per capita (current US$),Individuals using the Internet (% of population),Land area (sq. km),"Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Urban population (% of total population),5-year average GDP growth,5-year average GDP per capita growth,WGI - VoiceandAccountability,WGI - Political StabilityNoViolence,WGI - GovernmentEffectiveness,WGI - RegulatoryQuality,WGI - RuleofLaw,WGI - ControlofCorruption,Political rights score,Civil liberties score,Population aged 0 - 40
AFG,Afghanistan,Asia,Southern Asia,9.39572716,49.84260941,44.06497,4.321,0.051740516,19291104007.8299,507.103431871987,11.44768809,652860,64.833,59.3560197,56.937760009803,2.31181721714573,38041754,25.754,2.291892721802234,-0.35175371865966526,-0.9880322813987732,-2.649406671524048,-1.4638749361038208,-1.1205554008483887,-1.713526964187622,-1.4010756015777588,13,14,0.8368928911459058
AGO,Angola,Africa,Sub-Saharan Africa,2.54900527,87.61676788,41.28838,5.442,0.374130075,88815697793.303,2790.72661520665,14.33907936,1246700,61.147,46.59863797,24.7130520574316,3.2429826028718,31825295,66.177,-0.8823930137637958,-4.130518800670944,-0.7772831916809082,-0.3111005425453186,-1.1171437501907349,-0.8938713669776917,-1.0543431043624878,-1.0546833276748657,10,21,0.8463405167065359
ALB,Albania,Europe,Southern Europe,5.26271439,274.91409302,67.74847,1.597,15.1407347,15279183289.9372,5353.2448564014,69.64285467,27400,78.573,91.29301538,104.612262773723,-0.426007367032238,2854191,61.229,3.1294252071150157,3.3799251582709577,0.15180465579032898,0.11856954544782639,-0.061330899596214294,0.27437981963157654,-0.41117939352989197,-0.5287575721740723,27,39,0.5444185565782236
ARE,United Arab Emirates,Asia,Western Asia,4.22590351,1817.34765625,80.91489,1.387,31.17494457,421142267937.65,43103.3230583165,99.14999796,71020,77.972,200.6320743,135.609110109828,1.43878044485973,9770529,86.789,2.681602802609326,1.4900845896618786,-1.1220358610153198,0.7034943103790283,1.377220869064331,0.9793252348899841,0.8402188420295715,1.106342077255249,5,12,0.7230044728400498
ARG,Argentina,Americas,Latin America and the Caribbean,9.62454033,1127.90722656,58.96151,2.247,19.63610555,445445177459.426,9912.28180859803,74.29490687,2736690,76.667,125.842106,16.2585100979651,0.993397493293046,44938712,91.991,-0.23680635665808794,-1.265739494038196,0.6004348993301392,-0.11997848749160767,-0.08648588508367538,-0.4927525818347931,-0.430725634098053,-0.07107135653495789,35,49,0.6235952839677703
ARM,Armenia,Asia,Western Asia,10.02538967,422.28268433,74.49401,1.758,13.04053682,13672802157.8324,4622.73349328671,68.24505226,28470,75.087,122.3487531,103.680224798033,0.201539722879792,2957731,63.219,4.73999999972522,4.418689369908298,0.05004274845123291,-0.5064106583595276,-0.06681737303733826,0.2495153248310089,-0.13127575814723969,-0.18416833877563477,22,33,0.5775226795702647
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,5.23155928,875.17254639,60.28342,1.987,9.431391864,1661962962.96296,17112.8211347326,73,440,77.016,192.819567,218.831818181818,0.860380480678118,97118,24.506,4.903294295430548,3.900471181321688,0.7604435682296753,0.9597089886665344,-0.0038697037380188704,0.48537468910217285,0.4052046537399292,0.2778981924057007,33,52,0.591371054934871
AUS,Australia,Oceania,Australia and New Zealand,9.28459835,5425.34033203,81.21506,1.657,34.7290451,1396567014733.23,55057.2046960666,86.54504885,7692020,82.9,110.6208823,3.24787091037205,1.52165367749095,25365745,86.124,2.474830462865338,0.9000457452158656,1.3151254653930664,1.0865033864974976,1.5718960762023926,1.8735394477844238,1.7341445684432983,1.8111071586608887,40,57,0.5326103608559923
AUT,Austria,Europe,Western Europe,10.32559872,5326.43701172,78.74549,1.46,28.12921617,445075391688.156,50121.5542131186,87.75220479,82520,81.7926829268293,119.7752968,107.131858943286,0.444673639004876,8879920,58.515,1.8804762714141101,1.104428356722418,1.3265985250473022,0.9801226854324341,1.4909114837646484,1.4591155052185059,1.8830512762069702,1.5454288721084595,37,56,0.45661935804129694
AZE,Azerbaijan,Asia,Western Asia,3.51373243,165.7674408,76.70888,1.8,19.33785363,48047647058.8235,4793.12555908722,79.79999549,82654,73.005,106.9924534,120.25759188908,0.846646726414021,10024283,56.031,0.3717337089828374,-0.6261475123409458,-1.4917879104614258,-0.6811310052871704,-0.13917681574821472,-0.22664128243923187,-0.5772703289985657,-0.8684072494506836,2,8,0.6359070632875126
BDI,Burundi,Africa,Sub-Saharan Africa,7.74165535,24.02547073,46.77393,5.321,0.03374505,3012334881.64057,261.247472515742,2.660748535,25680,61.584,56.64970019,435.178271028037,3.12896711408085,11530580,13.366,-0.10952066573189043,-3.218778620814486,-1.708203673362732,-1.6490296125411987,-1.3263216018676758,-0.9495388865470886,-1.431904673576355,-1.4584697484970093,4,10,0.8568804492611255
BEL,Belgium,Europe,Western Europe,10.31865311,4912.70068359,74.98904,1.57,39.78313988,533097455834.509,46345.4032925223,90.37051309,30280,81.7463414634146,99.7421427,377.379590488771,0.65984363619709,11502704,98.041,1.694469555195828,1.1698347787998533,1.369119644165039,0.4811862111091614,1.0322270393371582,1.2909990549087524,1.3637149333953857,1.5519605875015259,39,57,0.4764670197661281
BEN,Benin,Africa,Sub-Saharan Africa,2.49141979,30.9390583,52.40404,4.767,0.212114903,14390709094.9386,1219.43267185875,14.11901233,112760,61.771,87.70201313,101.853919829727,2.71510535908362,11801151,47.861,4.870465350436616,2.029615571609197,0.09206519275903702,-0.3478640615940094,-0.44065171480178833,-0.3759646713733673,-0.6641258597373962,-0.3237638771533966,21,44,0.8158878739878848
BFA,Burkina Faso,Africa,Sub-Saharan Africa,5.62852383,40.24945068,51.40019,5.109,0.059124927,15990803569.9961,786.895631290168,15.87620691,273600,61.577,100.2122395,72.1912828947368,2.84422255256232,20321378,29.98,5.7026730909694106,2.690370715316179,-0.18009068071842194,-1.1886175870895386,-0.7585108876228333,-0.3764920234680176,-0.4262591004371643,-0.18865616619586945,23,31,0.8397376792711402
BGD,Bangladesh,Asia,Southern Asia,2.3428061,41.90905762,45.04865,2.011,4.95902507,302571254131.135,1855.73982408046,12.9,130170,72.591,101.5491558,1239.57931166936,1.0420011284052,163046161,37.405,7.39334409838009,6.2460807219922,-0.7217754125595093,-0.9181734919548035,-0.7392300963401794,-0.9289543032646179,-0.6363083720207214,-0.9938096404075623,15,24,0.7102276680419827
BGR,Bulgaria,Europe,Eastern Europe,7.34667873,689.90539551,71.97405,1.58,28.78196785,68558815111.6199,9828.14851478139,67.94698094,108560,74.9146341463415,116.2063245,64.7110998526161,-0.703905641117455,6975761,75.347,3.619958761483782,4.346913300067104,0.3849186897277832,0.5401217341423035,0.33900025486946106,0.5316786170005798,0.03589657321572304,-0.15519021451473236,33,45,0.43290457712200203
BHR,Bahrain,Asia,Western Asia,4.13356352,994.17901611,76.02665,1.964,8.590933796,38574069148.9362,23503.977126673,99.70150438,780,77.292,115.7929212,2012.10128205128,4.46923900893373,1641172,89.394,2.786612882367414,-1.3523173153886205,-1.4125843048095703,-0.6615179777145386,0.2987609803676605,0.4850985109806061,0.4943777918815613,-0.010218021459877491,2,10,0.7165230595058272
BHS,"Bahamas, The",Americas,Latin America and the Caribbean,6.24896193,2013.37927246,59.87155,1.743,21.12934616,13578800000,34863.7420984795,85,10010,73.918,109.2494647,38.5254745254745,0.991335935305563,389482,83.132,1.806800230453737,0.8015727783416476,0.9342639446258545,0.829479455947876,0.48609626293182373,-0.04830378293991089,0.07653187960386276,1.1846281290054321,38,53,0.6136985668291031
BIH,Bosnia and Herzegovina,Europe,Southern Europe,8.895051,539.54663086,65.44253,1.254,22.59578915,20164193806.88,6108.51069581338,69.94634763,51200,77.401,113.7691912,64.92048828125,-0.692206408656095,3301000,48.626,3.165727571465074,4.2741578702388265,-0.1992863118648529,-0.4004397392272949,-0.6342770457267761,-0.19400231540203094,-0.2335415929555893,-0.6131451725959778,19,34,0.46529685870757875
BLR,Belarus,Europe,Eastern Europe,5.64426613,356.25073242,74.29113,1.382,34.01110045,63080457022.6599,6697.96861498416,82.78915209,202980,74.2268292682927,123.0082886,46.7213469307321,-0.694662243115478,9417849,79.044,0.10949214575962607,0.23472245288436397,-1.4025019407272339,0.28913021087646484,-0.18333275616168976,-0.5437806248664856,-0.7944577932357788,-0.059538982808589935,2,9,0.4974494706806193
BLZ,Belize,Americas,Latin America and the Caribbean,5.69105911,285.98583984,55.47444,2.274,7.582880111,1879613600,4815.1637107951,47.0826258,22810,74.623,65.30473699,16.7939938623411,1.88311073570597,390353,45.866,1.4315096925984538,-0.5682845072697762,0.5317143797874451,0.06981529295444489,-0.6767014265060425,-0.544256865978241,-0.7755124568939209,-0.19602280855178833,34,53,0.7377155431906156
BOL,Bolivia,Americas,Latin America and the Caribbean,6.30102587,223.59788513,51.65574,2.688,6.487149421,40895322843.7851,3552.0687602631,44.28614216,1083300,71.513,101.5263482,10.4801458506416,1.39909836758217,11513100,69.773,3.951328731951946,2.4519054743561366,-0.09123608469963074,-0.6153546571731567,-0.6992179751396179,-0.9934061765670776,-1.1213886737823486,-0.742189347743988,27,39,0.7186366454496799
BRA,Brazil,Americas,Latin America and the Caribbean,9.51438713,848.38885498,59.08307,1.719,15.59562652,1839758040765.62,8717.18627810819,70.43428254,8358140,75.881,95.71653293,25.0617162430876,0.75154842651724,211049527,86.824,-0.609000335150934,-1.4014110073133674,0.34442514181137085,-0.5464811325073242,-0.18673795461654663,-0.17779399454593658,-0.18090397119522095,-0.3339984714984894,31,43,0.6133102771961304
BRB,Barbados,Americas,Latin America and the Caribbean,6.56259155,1164.54455566,57.90615,1.623,37.21034753,5209000000,18148.2449264001,81.76077839,430,79.19,114.7377406,666.606976744186,0.133875829263984,287025,31.158,0.9452085232962288,0.7898113377391571,1.1318668127059937,0.9417336583137512,0.6314250230789185,0.4123010039329529,0.3570292294025421,1.261709213256836,38,57,0.4975036669790712
BRN,Brunei Darussalam,Asia,South-eastern Asia,2.41291642,763.15289307,70.06387,1.819,12.50793358,13469422958.5105,31086.7511188028,95,5270,75.86,132.6607198,81.396963946869107,1.00273731829347,433285,77.942,0.4759297479256202,-0.637878530227437,-0.9489539265632629,1.1722456216812134,1.3183088302612305,0.6344553232192993,0.6142666935920715,0.8018863797187805,7,21,0.6443915678500048
BTN,Bhutan,Asia,Southern Asia,3.0574255,102.73851776,65.97305,1.954,1.149795831,2530547157.56678,3316.17571350084,41.77264453,38140,71.777,95.5637066,19.7796014682748,1.14638227394932,763092,41.612,5.588150543224774,4.340158159553046,0.09876487404108047,1.0925052165985107,0.31376519799232483,-0.32665666937828064,0.5897077322006226,1.6179190874099731,30,31,0.724470379795936
BWA,Botswana,Africa,Sub-Saharan Africa,5.84825039,482.96307373,66.1978,2.836,2.139821339,18340480936.0444,7961.32518123885,41.41379464,566730,69.592,162.6411807,3.97742487604327,2.1752909092404,2303697,70.172,2.59095839092925,0.5954411802068544,0.5260314345359802,1.0112968683242798,0.42904797196388245,0.3700963854789734,0.498439222574234,0.7078155875205994,28,44,0.7622219530903072
CAF,Central African Republic,Africa,Sub-Saharan Africa,10.99253082,53.66416168,35.56585,4.645,0.010515923,2220307368.69593,467.907440636335,4.339254945,622980,53.283,33.619216110000004,7.49041221227006,1.67474521186478,4745185,41.77,4.074887065035346,2.814360739604466,-1.201646089553833,-2.1829676628112793,-1.7472009658813477,-1.3728123903274536,-1.7283856868743896,-1.2284399271011353,3,6,0.8361463287264822
CAN,Canada,Americas,Northern America,10.79046917,4994.90234375,79.64043,1.4684,40.8261656,1736425629519.96,46189.6601146616,92.70137191,8965590,82.0487804878049,91.86310664,4.1341593804758,1.41501469953534,37593384,81.482,1.7001962412739737,0.5051549487604354,1.4625053405761719,1.0299052000045776,1.7316431999206543,1.7160972356796265,1.7599397897720337,1.766973614692688,40,58,0.48780934432505463
CHE,Switzerland,Europe,Western Europe,11.87620926,9870.6640625,76.61864,1.48,46.90110361,703082435158.864,81989.4435119161,93.14608695,39516.03,83.7048780487805,126.0455236,215.465192227053,0.713313668444329,8575280,73.849,1.7069809762977661,0.7732217294280792,1.527955412864685,1.3369934558868408,1.952120065689087,1.66447913646698,1.9066414833068848,1.977294921875,39,57,0.46208404574916606
CHL,Chile,Americas,Latin America and the Caribbean,9.14051342,1455.60791016,72.58023,1.627,18.0946503,282318159744.65,14896.4538665789,82.32748693,743532,80.181,132.1845598,25.1894471253423,1.18298043072933,18952038,87.643,2.041438469757642,0.7228281759557378,1.0196022987365723,0.20638242363929749,1.0604203939437866,1.224169135093689,1.073613166809082,1.0884568691253662,38,55,0.5727934757402042
CHN,China,Asia,Eastern Asia,5.35107994,501.05938721,77.9313,1.696,31.33520101,14279937467431,10216.6303341031,54.3,9424702.9,76.912,121.7922911,147.774419499208,0.357291063115687,1397715000,60.308,6.70735598844461,6.191502007380212,-1.6123721599578857,-0.24038255214691162,0.5182531476020813,-0.24461442232131958,-0.27471861243247986,-0.32349681854248047,-2,11,0.5262278593803258
CIV,Cote d'Ivoire,Africa,Sub-Saharan Africa,4.19003773,71.88140869,60.68796,4.593,0.842737656,58539424929.7248,2276.33327906444,36.45378947,318000,57.783,145.340692,78.8340534591195,2.54933623927928,25716544,51.239,7.300739938890862,4.60809470483771,-0.22257386147975922,-0.9623560309410095,-0.4825879633426666,-0.24286311864852905,-0.5669065713882446,-0.5250722765922546,16,28,0.8231358130287014
CMR,Cameroon,Africa,Sub-Saharan Africa,3.52989626,54.13952637,46.09974,4.506,1.549401423,39007354359.2798,1507.45020591288,23.20297197,472710,59.292,82.70374759,53.3439889149796,2.58424710709784,25876380,56.968,4.326446175147378,1.6128395711649444,-1.194610357284546,-1.5552833080291748,-0.8121465444564819,-0.8270047903060913,-1.1189085245132446,-1.2086620330810547,7,9,0.8297691825874899
COD,"Congo, Dem. Rep.",Africa,Sub-Saharan Africa,3.30075741,18.51088905,36.20973,5.819,0.013711167,50400746171.4239,580.716867207745,8.619904916,2267050,60.681,42.77332121,37.0825923557045,3.18708630238904,86790567,45.046,4.649632908564562,1.3015208952087556,-1.365965723991394,-1.8080073595046997,-1.6274285316467285,-1.5096668004989624,-1.7860875129699707,-1.5389313697814941,5,15,0.8314371211397074
COL,Colombia,Americas,Latin America and the Caribbean,7.63980007,513.15869141,70.05964,1.789,13.80597715,323615979418.651,6428.67620562768,65.00690072,1109500,77.287,131.6724442,44.7598521856692,1.35678804331132,50339443,81.104,2.435637180448932,1.0256832975649077,0.2294834703207016,-0.9002540111541748,0.07122322171926498,0.39661210775375366,-0.41692885756492615,-0.22916705906391144,29,36,0.6382004067863842
COM,Comoros,Africa,Sub-Saharan Africa,4.58884811,65.22776031,47.87291,4.138,0.138796502,1165839927.06327,1370.14820676715,8.478170295,1861,64.321,67.60224049,447.24449220849,2.20587743735692,850886,29.164,2.733879274655738,0.42296366577129524,-0.68938446044921875,-0.14867544174194336,-1.6691975593566895,-1.119255542755127,-1.0875025987625122,-1.0203497409820557,16,26,0.8042287437521375
CPV,Cabo Verde,Africa,Sub-Saharan Africa,5.35998297,194.85687256,55.03925,2.242,3.466955186,1981845740.35828,3603.78179304514,57.16214635,4030,72.981,108.3184376,134.929776674938,1.12792431423236,549935,66.195,3.92272170921419,2.6978805834482977,0.9689362645149231,0.8809047341346741,0.29302796721458435,-0.22461752593517303,0.5153446197509766,0.870890736579895,38,54,0.7287066131331645
CRI,Costa Rica,Americas,Latin America and the Caribbean,7.56336021,909.6730957,69.2383,1.737,17.9241816,61801385049.0716,12243.8114267607,81.20259644,51060,80.279,169.3935546,97.9130630630631,0.957905013850413,5047561,80.076,3.296417982246576,2.242766767411502,1.1252985000610352,0.4602174162864685,0.4231586754322052,0.49803513288497925,0.5440922379493713,0.7223710417747498,38,53,0.6101061482961772
CYP,Cyprus,Asia,Western Asia,6.76976299,1954.40686035,73.35105,1.321,37.78812775,24948935408.0376,27858.3709958327,86.06362996,9240,80.982,143.849919,128.708333333333,0.779788191505342,1198575,66.805,4.625437361711876,3.6546510046820018,1.077344536781311,0.5165107846260071,0.9924904108047485,1.012343168258667,0.759899377822876,0.604877233505249,38,56,0.5489331488919332
CZE,Czech Republic,Europe,Eastern Europe,7.64651203,1765.58837891,76.34054,1.71,34.98494603,250680504529.647,23489.8386627318,80.86694441,77200,79.1292682926829,122.5662254,137.693367875648,0.393788864202175,10671870,73.921,3.72220259909278,3.436323512787406,0.9368531107902527,0.9520849585533142,0.8856381773948669,1.2451283931732178,1.046504020690918,0.5062277317047119,36,55,0.4499173481233699
DEU,Germany,Europe,Western Europe,11.42995071,5472.20214844,79.71004,1.54,41.99327095,3861123558039.21,46467.5162023856,88.13451691,349380,80.9414634146342,128.3570318,237.294012250272,0.22551987421288,83092962,77.376,1.6294707040500576,1.1074997746459039,1.335723876953125,0.582865297794342,1.5853087902069092,1.7230501174926758,1.6187732219696045,1.8954731225967407,39,55,0.4294624856434893
DJI,Djibouti,Africa,Sub-Saharan Africa,2.32438445,70.86093903,60.49674,2.676,2.507909117,3324634256.13324,3414.92486968779,55.68140925,23180,67.112,42.51057973,41.3684210526316,1.51518050206022,973560,77.915,7.185999142779734,5.484534058011684,-1.406524896621704,-0.34459272027015686,-0.7133426666259766,-0.7717018723487854,-0.9144033789634705,-0.8556599020957947,5,19,0.7309905840130573
DNK,Denmark,Europe,Northern Europe,10.0707159,6216.76855469,85.28856,1.7,43.94598914,350104327658.675,60213.0921454746,98.04643475,40000,81.2024390243903,125.4958526,144.8409,0.358130915892652,5814422,87.994,2.687089052790922,2.07600025357148,1.578778862953186,1.00882089138031,1.9378986358642578,1.5650123357772827,1.8984570503234863,2.107368230819702,40,57,0.47219138892911455
DOM,Dominican Republic,Americas,Latin America and the Caribbean,5.73298407,461.54251099,59.98867,2.323,8.864640312,88941299734.2073,8282.11635935324,74.82428986,48310,74.081,83.32379175,219.97857586421,1.04646051306009,10738958,81.828,6.05752386388942,4.899023077049966,0.2019050121307373,0.018905935809016228,-0.35747799277305603,-0.05359239876270294,-0.34769749641418457,-0.7632169723510742,26,41,0.682459851547967
DZA,Algeria,Africa,Northern Africa,6.2184267,255.86943054,48.59758,2.988,8.321683753,171091289782.245,3973.96407191565,49.03846808,2381741,76.88,109.3560773,17.7300676270006,1.93395019121501,43053054,73.189,2.0399999999999747,0.0025291630240200204,-1.037678837776184,-1.0035754442214966,-0.5161745548248291,-1.303378939628601,-0.8154637813568115,-0.621849775314331,10,22,0.6957184965322089
ECU,Ecuador,Americas,Latin America and the Caribbean,8.13646507,516.24798584,57.7227,2.403,12.0438512,107435665000,6183.82382482173,54.06292473,248360,77.01,91.24789005,68.7886817522951,1.6792131785026,17373662,63.986,0.5167771823539999,-1.185497870248579,0.060943637043237686,-0.18901747465133667,-0.39858418703079224,-0.8236187100410461,-0.5773570537567139,-0.49641090631484985,27,40,0.6858315436986007
EGY,"Egypt, Arab Rep.",Africa,Northern Africa,4.947577,125.54537201,60.05364,3.28,7.56956556,303092255125.285,3019.20582861756,57.28286878,995450,71.99,94.97170247,98.8734692852479,1.97628434808829,100388073,42.73,4.754337691813876,2.587557193650648,-1.428673267364502,-1.066420555114746,-0.4235376715660095,-0.8277660012245178,-0.42084598541259766,-0.6702130436897278,6,12,0.7370093137356273
ESP,Spain,Europe,Southern Europe,8.97741413,2736.32324219,77.93588,1.24,33.41391156,1393490524517.64,29564.7448981723,90.71866533,499603.479,83.4853658536585,118.4398,93.6697920792501,0.714923607990018,47133521,80.565,2.844057844122854,2.559748031956206,1.0854531526565552,0.32287275791168213,0.99904465675354,1.050189733505249,0.9790521860122681,0.6467961072921753,37,53,0.424358915361274
EST,Estonia,Europe,Northern Europe,6.6878767,1552.96875,80.61685,1.66,32.53133562,31471100656.2431,23717.7994512337,89.53232756,43470,78.4975609756098,147.1771541,30.4112491373361,0.371554389037477,1326898,69.051,3.976753404062894,3.781475659982982,1.2104718685150146,0.6388936638832092,1.1747465133666992,1.591124176979065,1.281257152557373,1.5423293113708496,38,56,0.4694283438302388
ETH,Ethiopia,Africa,Sub-Saharan Africa,3.29555655,24.22611809,47.97613,4.146,0.059163576,95912590628.1412,855.760862280838,18.61805145,1129300.39,66.597,37.2180717,96.718782679248,2.57956334803926,112078730,21.225,8.914073763385884,6.04880705038295,-1.0461251735687256,-1.2795966863632202,-0.6345772743225098,-0.8889709115028381,-0.47347819805145264,-0.4064650535583496,9,13,0.8203132428511613
FIN,Finland,Europe,Northern Europe,9.037323,4515.67724609,80.17834,1.35,32.48281502,269296310180.392,48771.3737960281,89.60738511,303920,81.7853658536586,129.2443669,18.1479501184522,0.110191690491055,5521606,85.446,1.8576827132994835,1.6349376120067562,1.5889769792556763,0.9090824127197266,1.9293129444122314,1.8510150909423828,2.0221455097198486,2.1530814170837402,40,60,0.46372837742952544
FJI,Fiji,Oceania,Melanesia,3.42366552,214.55378723,61.47892,2.754,1.475184016,5496250694.31587,6175.88872032104,49.96637301,18270,67.444,117.8305767,48.3570333880679,0.729660242086809,889953,56.75,3.133540933863857,2.584813560883568,0.0941573828458786,0.8723140954971313,0.2040976732969284,-0.2174181044101715,-0.02575884945690632,0.5585566163063049,24,36,0.6869223724795074
FRA,France,Europe,Western Europe,11.25789452,4690.07226563,76.80465,1.87,45.69341975,2715518274227.45,40496.3640344875,83.33974409,547557,82.5780487804878,110.6100121,122.299435492561,0.134220009461089,67055854,80.709,1.560250939183334,1.3341741518461643,1.1416594982147217,0.313681036233902,1.384610891342163,1.4402916431427002,1.4120583534240723,1.3009679317474365,38,52,0.47423836365186495
